image,label1,label2
/root/animal_class/data/train/rabbits/rabbits120.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits080.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits046.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits244.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits150.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits033.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits254.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits168.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits219.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits088.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits098.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits041.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits116.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits247.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits185.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits147.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits305.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits020.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits240.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits162.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits194.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits199.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits309.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits251.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits267.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits242.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits090.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits250.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits091.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits222.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits159.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits034.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits063.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits016.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits202.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits028.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits231.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits114.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits079.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits198.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits155.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits138.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits024.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits077.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits265.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits004.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits104.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits197.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits180.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits100.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits201.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits040.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits141.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits026.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits205.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits210.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits038.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits084.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits027.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits190.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits142.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits081.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits213.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits139.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits074.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits075.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits281.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits273.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits308.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits224.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits152.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits014.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits235.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits177.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits010.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits121.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits125.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits172.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits285.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits118.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits204.jpg,1,1
/root/animal_class/data/train/rabbits/rabbits047.jpg,1,1
